City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Buenaventura,CO,3.8801,-77.0312,79.75,88,100,4.56,overcast clouds
269,Oranjemund,NA,-28.55,16.4333,57.65,80,29,13.42,scattered clouds
270,Ayr,GB,55.4627,-4.6339,64.29,82,0,8.05,clear sky
271,Cayenne,GF,4.9333,-52.3333,86.04,66,75,10.36,broken clouds
272,Aleksandrovskiy Zavod,RU,50.9237,117.9374,51.6,96,100,9.46,overcast clouds
273,Kirakira,SB,-10.4544,161.9205,79.5,82,15,3.0,few clouds
274,Hongjiang,CN,27.11,109.9956,66.49,61,89,0.81,overcast clouds
275,Sisimiut,GL,66.9395,-53.6735,52.11,77,100,14.03,overcast clouds
276,Raga,SS,8.4596,25.678,70.52,97,100,2.68,light rain
277,Esperance,AU,-33.8667,121.9,57.7,65,99,13.13,overcast clouds
278,Pavino,RU,59.1139,46.1414,41.72,92,53,5.12,broken clouds
279,Zanjan,IR,36.6736,48.4787,72.79,15,0,5.3,clear sky
280,Lahaina,US,20.8783,-156.6825,84.81,75,83,7.34,broken clouds
281,Langfang,CN,39.5097,116.6947,70.38,52,86,15.57,overcast clouds
282,Fujin,CN,47.26,132.0322,56.59,92,100,12.68,light rain
283,Rocha,UY,-34.4833,-54.3333,62.42,58,0,3.38,clear sky
284,Wajid,SO,3.8093,43.2471,75.9,60,6,21.27,clear sky
285,Puerto Penasco,MX,31.3167,-113.5333,89.91,80,100,8.01,overcast clouds
286,Verkhnevilyuysk,RU,63.4453,120.3167,40.66,82,100,1.59,overcast clouds
287,Kamenka,RU,51.3223,42.7678,44.44,94,8,5.95,clear sky
288,Pauini,BR,-7.7136,-66.9764,98.74,23,21,4.63,few clouds
289,La Ronge,CA,55.1001,-105.2842,85.03,28,0,10.0,clear sky
290,Pangody,RU,65.85,74.4859,41.99,93,100,4.97,overcast clouds
291,Yelan,RU,50.949,43.7378,45.36,91,55,7.27,broken clouds
292,Constitucion,CL,-35.3333,-72.4167,62.22,57,0,10.6,clear sky
293,Provideniya,RU,64.3833,-173.3,42.3,89,100,11.72,overcast clouds
294,Okhotsk,RU,59.3833,143.3,50.13,86,100,5.53,overcast clouds
295,Movileni,RO,44.3667,24.65,60.73,74,6,5.73,clear sky
296,Cockburn Town,TC,21.4612,-71.1419,84.06,75,1,16.11,clear sky
297,Mae Hong Son,TH,19.3003,97.9685,74.98,97,100,1.57,overcast clouds
298,Putina,PE,-15.4667,-69.4333,52.79,37,14,9.62,few clouds
299,Bom Jesus,BR,-9.0744,-44.3586,97.72,19,25,8.63,scattered clouds
300,Labuhan,ID,-6.8844,112.2051,77.83,81,100,7.67,overcast clouds
301,Vostok,RU,46.4856,135.8833,51.73,96,100,3.71,overcast clouds
302,Kahului,US,20.8947,-156.47,84.85,74,75,11.99,broken clouds
303,Sharjah,AE,25.3573,55.4033,88.32,57,0,1.61,clear sky
304,Roma,US,43.2128,-75.4557,82.51,72,100,5.99,overcast clouds
305,Antalaha,MG,-14.9003,50.2788,67.08,82,92,6.58,overcast clouds
306,Yima,CN,34.7381,111.8839,68.59,61,88,7.65,overcast clouds
307,Nanortalik,GL,60.1432,-45.2371,46.26,89,47,2.98,scattered clouds
308,Iracoubo,GF,5.4802,-53.2011,82.99,75,100,14.27,moderate rain
309,Praia,CV,14.9215,-23.5087,82.94,78,40,8.05,scattered clouds
310,Bengkulu,ID,-3.8004,102.2655,75.4,88,100,3.85,overcast clouds
311,Melgar,CO,4.2048,-74.6407,89.91,46,53,10.47,broken clouds
312,Taltal,CL,-25.4,-70.4833,65.12,59,22,5.84,few clouds
313,Almas,RO,46.2833,22.2333,61.18,82,66,1.97,light rain
314,Bilibino,RU,68.0546,166.4372,35.11,73,98,2.26,overcast clouds
315,Brazzaville,CG,-4.2658,15.2832,84.6,50,100,1.97,light rain
316,Pangkalanbuun,ID,-2.6833,111.6167,72.64,99,100,2.04,overcast clouds
317,Belmonte,BR,-15.8631,-38.8828,74.59,72,0,8.21,clear sky
318,Marawi,PH,7.9986,124.2928,69.06,95,100,2.91,overcast clouds
319,Korla,CN,41.7597,86.1469,73.72,23,0,2.62,clear sky
320,Oktyabrskiy,RU,54.4815,53.471,47.62,88,100,2.59,overcast clouds
321,Cururupu,BR,-1.8283,-44.8683,82.85,68,8,6.29,clear sky
322,Pullman,US,46.7313,-117.1796,83.23,27,0,18.99,clear sky
323,Vite,IN,17.2833,74.55,75.7,85,100,1.36,moderate rain
324,Ukiah,US,39.1502,-123.2078,101.44,23,0,3.44,clear sky
325,Kawalu,ID,-7.3817,108.2082,68.86,91,100,0.25,overcast clouds
326,Laguna,US,38.421,-121.4238,103.17,21,0,6.91,clear sky
327,Labrea,BR,-7.2586,-64.7981,100.24,19,48,4.09,scattered clouds
328,Kavieng,PG,-2.5744,150.7967,81.52,74,30,13.2,scattered clouds
329,Yecla,ES,38.6137,-1.1147,73.36,64,3,4.32,clear sky
330,Daru,PG,-9.0763,143.2092,77.18,91,84,8.86,broken clouds
331,Miyako,JP,39.6367,141.9525,68.38,92,100,6.55,overcast clouds
332,Peniche,PT,39.3558,-9.3811,69.12,88,25,8.77,scattered clouds
333,Necochea,AR,-38.5473,-58.7368,58.96,51,1,7.09,clear sky
334,Upernavik,GL,72.7868,-56.1549,45.54,89,100,5.86,overcast clouds
335,Xining,CN,36.6167,101.7667,44.15,85,66,3.0,broken clouds
336,Dhupgari,IN,26.5858,89.0145,75.97,96,80,2.84,moderate rain
337,Komsomolskiy,UZ,40.4272,71.7189,72.32,35,0,6.91,clear sky
338,Uryupinsk,RU,50.8047,42.0138,45.61,93,8,5.68,clear sky
339,Assiniboia,CA,49.6334,-105.9845,92.17,16,84,12.46,broken clouds
340,Rosetown,CA,51.5501,-108.0014,96.66,14,4,12.73,clear sky
341,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,37,12.44,light rain
342,Luanda,AO,-8.8368,13.2343,70.29,90,2,14.52,clear sky
343,Grand Gaube,MU,-20.0064,57.6608,70.38,75,3,5.01,clear sky
344,Gumdag,TM,39.2061,54.5906,83.37,15,0,6.69,clear sky
